phone_name,price,screen_size,camera,RAM,battery_mah
Realme Narzo 50A,11499,6.5,3,4,6000
Oneplus Nord 2,27999,6.43,3,6,4500
Realme 8i,13598,6.6,3,4,5000
Realme C11,8999,6.5,8MP,4,5000
Redmi 10 prime,12499,6.5,Quad,4,6000
Redmi Note 11,18790,6.67,3,6,5160
Samsung Galaxy M12,10800,6.5,Quad,4,6000
Redmi Note 10S,14999,6.43,Quad,6,5000
Samsung Galaxy F62,23999,6.7,Quad,6,7000
Poco M3,13490,6.53,3,6,6000
Realme GT Master,25890,6.43,3,6,4300
Realme C25Y,11747,6.5,3,4,5000
Redmi Note 10,15490,6.43,Quad,4,5000
Oppo Reno6,29600,6.43,3,8,4300
Realme 8s,17999,6.5,3,6,5000
Redmi Note 11 Pro,19999,6.67,Quad,6,5200
Samsung Galaxy M32,14999,6.4,Quad,4,6000
Motorola G60,17999,6.8,3,6,6000
Realme Narzo 30,13499,6.5,3,4,5000
Redmi 9 Activ,9499,6.53,Dual,4,5000
Realme C21Y,10297,6.5,3,4,5000
Oneplus 9,38590,6.62,3,8,4500

